Name,Nicknames,Age,Born Date,Born Location,Died Date,Died Location,Conviction,Criminal Penalty,Date Apprehended
Sipho Agmatir Thwala,The Phoenix Strangler,,,"Sipho Mandla Agmatir ThwalaKwaMashu, South Africa",,,,life imprisonment(506 years),1997-08-14
Saeed Hanaei,"Said, Spider Killer",,,Imperial State of Iran,2002-04-08,"Mashhad Prison, Mashhad, Iran",,death,2001-07-01
Maina Ramulu,,,,"Arutla village, Telangana, India",,,"Murder , Larceny , Escaping Police Custody",,2009-10-14
Jeffrey Dahmer,"The Milwaukee Cannibal, The Milwaukee Monster",34.0,1960-05-21,,1994-11-28,,"First-Degree Murder, Disorderly Conduct, Second-Degree Seual Assault And Enticing A Child For Immoral Purposes[N ]","life imprisonment without the possibility of parole (x16, total of 941 years imprisonment)",1991-07-22
José Antonio Rodríguez Vega,The Old Lady Killer,44.0,1957-12-03,"Santander, Spain",2002-10-24,"Topas, Spain",,440 years imprisonment,1988-05-19
Carroll Cole,,47.0,1938-05-09,,1985-12-06,,First Degree Murder,"death(October 12, 1984)",1980-11-30
Elias Xitavhudzi,Pangaman,,,Elias XitavhudziUnion of South Africa,1960-11-14,"Pretoria Central Prison, Pretoria, Union of South Africa",,deathby hanging,
Charles Ray Hatcher,"Albert Aire, Richard Clark, Richard Mark Clark, Richard Martin Clark, Richard Lee Grady, Richard Harris, Carl L. Kalebough, Earl L. Kalebough, Doris Mullins, Hobart Prater, Albert Ralph Price, Richard Lee Price, Ronald Springer, Charles Marvin Tidwell, Doris Mullins Travis, Dwayne Lee Wilfong",55.0,1929-07-16,,1984-12-07,,Capital Murder,life imprisonment without the possibility of parole for 50 years,1982-07-30
Yuri Ivanov,"The Ust-Kamenogorsk Maniac, The Silk Factory Killer",,,"Kamenogorsk, Kazakh SSR, Soviet Union",,"Kazakh SSR, Soviet Union",Murder,death,1987-01-01
Robert Lee Yates,"The Grocery Bag Killer, The Prostitute Killer, Spokane Washington,s Serial Killer, The Spokane Serial Killer",,1952-05-27,,,,Aggravated First Degree Murder First Degree Murder Attempted First Degree Murder,"408 years imprisonment,Spokane County2. death(commuted to life), Pierce County",2000-04-18
Farid Baghlani,The Cyclist Killer,,,"Abadan, Iran",2010-11-13,"Karun Prison, Ahvaz, Iran",Murder,death,2008-11-01
Jimmy Maketta,,,,South Africa,,,Murder Rape,,
Jack Mogale,West-End Serial Killer,,,South Africa,,,"Murder, Kidnapping, Rape",life imprisonment,2009-01-01
Donald Henry Gaskins,The Meanest Man,,,,1991-09-06,,"Murder Robbery, Assault",death(1976 and 1983),1975-11-14
Ravinder Kumar,,,,"Badaun, Uttar Pradesh",,,,,2015-07-19
Atlanta Ripper,,,,,,,,,
Ángel Maturino Reséndiz,,46.0,1959-08-01,"Izcar de Matamoros, Puebla, Mexico",2006-06-27,,,,
Chester Turner,The Southside Slayer,,1966-11-05,,,,,death,2003-09-30
Alexander Labutkin,"The One-Armed Bit, The Shooter",,," Petersburg, Russian Empire",,USSR,Murder,death,1935-04-01
Florencio Fernández,"The Argentine Vampire, The Window Vampire",,,"Monteros, Tucumn Province, Argentina",,,Murder,Confined to a mental institution,
Elifasi Msomi,"The Axe Killer, Tokoloshe Killer",,,Union of South Africa,,"Pretoria Central Prison, Pretoria, Transvaal, Union of South Africa",,death,1955-01-01
Maurizio Minghella,,,1958-07-16,"Genoa, Italy",,,,life imprisonment,2001-03-07
Bai Baoshan,,,,"Shijingshan District, Beijing, China",,"Xinjiang Uyghur Autonomous Region, China","Murder, Robbery, Assault",death,1997-09-05
Lee Choon-Jae,,,1963-01-31,"Hwaseong, Gyeonggi Province, South Korea",,,Murder,"Capital punishment in May 1994, commuted to life imprisonment",1994-01-18
Carl Eugene Watts,"Coral, The Sunday Morning Slasher",53.0,1953-11-07,,2007-09-21,,Murder,"60 years, life imprisonment without parole",1982-05-23
Belle Gunness,,,,"Trndelag, Norway",1908-04-28,,,,
Philipp Tyurin,"The Leningrad Maniac, The Hellraiser, Philipp the Bloody",,,"Sumerki, Ryazan Governorate, Russian Empire",,"Leningrad, RSFSR",Murder,death,1947-01-27
Zdzisław Marchwicki,The Zagłębie Vampire,49.0,1927-10-18,"Dbrowa Grnicza, Poland",1977-04-26,"Katowice, Poland",Murder,death,1972-01-01
Julio Pérez Silva,The Psychopath of Alto Hospicio,,1963-07-15,"Puchuncav, Valparaso, Chile",,,Murder,life imprisonment with the possibility of parole after 40 years imprisonment (murder)20 years imprisonment (rape)10 years imprisonment (attempted murder),2001-10-04
Monster Of Florence,"Il Mostro (The Monster), The Surgeon of Death, Il Mostro di Firenze, The Monster of Florence",,,,,,,,
Joachim Kroll,",Ruhr Cannibal,Duisburg Man-Eater,",58.0,1933-04-17,"Hindenburg, Germany",1991-07-01,"Rheinbach, Germany","Murder, Attempted Murder",life imprisonment (8 counts),
Arthur Shawcross,"The Genesee River Killer, The Monster of the Rivers, The Rochester Strangler",63.0,1945-06-06,,2008-11-10,,"Arson, Burglary, Manslaughter, Second Degree Murder",life imprisonment without parole (or a term amounting to 250 years),1990-01-05
Naceur Damergi,Slaughterer of Nabeul,,,"Tunis, French Tunisia",1990-11-17,"Tunis, Tunisia",Murder And Rape,death,1989-11-27
Muthukutty Chandran,Ripper,,,"Karinthala, Nileswaram, Kerala, India",,"Kannur, Kerala, India","Murder, Rape, Theft",death,1986-02-26
Marcelo Costa De Andrade,The Vampire of Niterói,,1967-01-02,"Rio de Janeiro, United States of Brazil",,,Murder,Committed to a psychiatric hospital,1991-12-18
