Name,Nicknames,Age,Born Date,Born Location,Died Date,Died Location,Conviction,Criminal Penalty,Date Apprehended
John Straffen,,77.0,1930-02-27,"Bordon Camp, Hampshire, England",2007-11-19,"HM Prison Frankland, County Durham, England",,Detained at His Majestys pleasure (17 October 1951) death(24 July 1952) Commuted to life imprisonment (29 August 1952),1951-08-09
Richard Laurence Marquette,,,1934-12-12,,,,"First Degree Murder, Murder",life imprisonment,
Graham Young,The Teacup Poisoner,42.0,1947-09-07,"Neasden, Middlesex, England, UK",1990-08-01,"HMP Parkhurst, Isle of Wight, England, UK",,,
Charles Schmid,"The Pied Piper of Tucson, Smitty",32.0,1942-07-08,,1975-03-30,,First-Degree Murder Second Degree Murder,"death, commuted to life imprisonment",1965-11-10
Lee Roy Martin,The Gaffney Strangler,,,,,,Murder,life imprisonment,1969-02-15
Erwin Hagedorn,,20.0,1952-01-30,"Eberswalde, Brandenburg, East Germany",1972-09-15,"Leipzig Prison, Leipzig, East Germany","Murder With Aggravating Circumstances Seual Abuse Of Children, Attempted Seual Abuse Of Children",death,1971-11-12
Karl F. Warner,,,,,,,Murder,life imprisonment,
Howard Arthur Allen,,71.0,1949-02-10,,2020-06-05,,"Murder, Voluntary Manslaughter, Robbery With Serious Bodily Injury, Theft","death, commuted to 98 years imprisonment",1987-08-04
Trevor Hardy,"The Beast of Manchester, The Monster of Manchester",,,"Newton Heath, Manchester, England",,"HM Prison Wakefield, West Yorkshire, England",,life imprisonment,1976-08-01
Steven David Catlin,,,,"Kern County, California, United States",,,Murder,death,
Paul Michael Stephani,The Weepy-Voiced Killer / Weepy-Voiced Man,,,,,,Of Attempted Murder Of Murder,58 years in prison,1982-08-21
Dámaso Rodríguez Martín,"El Brujo, Maso",46.0,1944-12-11,"El Batn, San Cristbal de La Laguna, Tenerife, Canary Islands",1991-02-19,"El Sols, Tegueste, Tenerife, Canary Islands",,,
Altemio Sanchez,"The Bike Path Killer, The Bike Path Rapist, Uncle Al",65.0,1958-01-19,,2023-09-22,,"Second Degree Murder Rape, Solicitation",75 years to life in prison,2007-01-15
Gregory Brazel,,,1954-11-17,"Blacktown, New South Wales, Australia",,,"Contempt Of Court, Armed Robbery, Murder Arson, Bribery","life imprisonment x3, non-parole period of 30 years",1990-09-26
Brian Dugan,,,1956-09-23,,,,,,1985-06-03
Valery Asratyan,The Director,,,"Yerevan, Armenian SSR, Soviet Union",,"Butyrka Prison, Moscow, Moscow Oblast, Russia",Murder With Aggravating Circumstances,death,1990-01-01
Francisca Ballesteros,"The Melilla Poisoner, The Poisoner of Melilla, Paqui Ballesteros",,,"Valencia, Spain",,,"Murder, Attempted Murder",,
Silvo Plut,,38.0,1968-05-29,"Novo Mesto, Socialist Republic of Slovenia, Socialist Federal Republic of Yugoslavia",2007-04-28,"Ljubljana, Slovenia",,,
Gabriel Garza Hoth,The Black Widower,,,Gabriel Garza HothMexico,,,,,
Robert Napper,"The Green Chain Rapist, The Plumstead Ripper",,1966-02-25,"Erith, London, United Kingdom",,,,Indefinite detention in a psychiatric hospital,1994-05-01
Antonis Daglis,The Athens Ripper,,,,1997-08-02,Greece,,life imprisonment plus 25 years,
Gustavo Romero Tercero,The Valdepeñas Killer,,1971-12-16,"Valdepeas, Spain",,,,103 years in prison,2003-10-09
Peter Bryan,,,1969-10-04,"London, England",,,,,1994-01-01
Lam Kwok-Wai,The Tuen Mun Rapist,,1971-01-27,Hong Kong,,,Murder Robbery Rape,life imprisonment,1993-08-09
Dana Sue Gray,,,1957-12-06,"Southern California, United States",,,"Murder, Attempted Murder, Robbery",,1994-03-16
Robin Ligus,,70.0,1952-03-06,"Baschurch, Shropshire, England",2022-12-16,"Birmingham, England",,,
Jack Owen Spillman,The Werewolf Butcher,,1969-08-30,,,,First Degree Murder,life imprisonment without parole,1995-04-19
Scott Williams,,,1963-12-03,,,,First Degree Murder,life imprisonment,2006-03-09
Juan Covington,,,1962-03-03,,,,Murder Attempted Murder,life imprisonment x3,2005-07-12
Matthew James Harris,,,1968-06-30,"Wagga Wagga, New South Wales, Australia",,,Murder ×,2 × life imprisonment + 40 years,1998-12-01
Yukio Yamaji,,25.0,1983-08-21,"Shimonoseki, Yamaguchi, Japan",2009-07-28,"ku, Osaka, Japan",Murder,death,2005-12-05
Hiroshi Maeue,The Suicide Website Murderer,40.0,1968-08-08,"Osaka Prefecture, Japan",2009-07-28,"Osaka Detention House, Osaka, Japan",Murder,death,2005-08-08
António Luís Costa,,,,"Santa Comba Do, Portugal",,,Murder,25 years imprisonment,2006-06-24
Özgür Dengiz,Cannibal of Ankara,,,"Edirne, Turkey",,,,life imprisonment (x2) (overturned)Psychiatric imprisonment,2007-09-14
Mario Alberto Sulú Canché,"The Young Girls Killer (Spanish: , El Matachavitas, )Mario Alberto Sulub Canché",,,"Mrida, Yucatn, Mexico",2008-08-29,"Mrida Social Readaptation Center, Mrida, Yucatn, Mexico",,40 years imprisonment,2008-08-04
Kimberly Mccarthy,,52.0,1961-05-11,,2013-06-26,,Capital Murder,"death(November 24, 1998 & November 1, 2002)",1997-07-21
Larry Hall,,,1962-12-11,,,,Kidnapping U.S.C. §,life imprisonment without parole,1994-10-28
Alejandro Máynez,,,,sMexico,,,,,
Billy Gohl,"Ghoul of Grays Harbor , Billy Montana",,,Germany,,"Eastern State Hospital Spokane County, Washington, United States",,life imprisonment,1910-01-01
Gerard John Schaefer,Jerry Shepherd  The Killer Cop  The Hangman  The Butcher of Blind Creek,,,,1995-12-03,,First Degree Murder,life imprisonment,1973-04-07
Macario Alcala Canchola,Mexican Jack,,,"Mexico City, Mexico",,,,"60 years in prison, maximum penalty in this time in Mexico City.",1962-09-01
Bruce Lindahl,,28.0,1953-01-29,,1981-04-04,,,,
Robert Zarinsky,,68.0,1940-09-02,"Linden, New Jersey, US",2008-11-28,,Murder,life imprisonment,1975-02-22
Ed Gein,"Eddie, The Mad Butcher, The Plainfield Ghoul, The Plainfield Butcher, The Butcher of Plainfield",77.0,1906-08-27,,1984-07-26,,First Degree Murder Later Found Legally Insane,Institutionalized in the Mendota Mental Health Institute,1957-11-16
José Luis Calva,,,,"Mexico City, Mexico",2007-12-11,,"Murder, Cannibalism",,2007-10-01
Shirley Winters,,,1958-02-27,New York,,,Murder,,2007-03-01
Richard Rogers,The Last Call Killer,,1950-06-16,,,,"First Degree Murder ×, Hindering Apprehension ×",life imprisonment,2001-05-28
Rabidin Satir,Rambo Bentong,,,"Kampung Libang Ulu, Tambunan, Sabah, Malaysia",,,"Murder Two Robbery, Firearm Offence, Multiple Of Rape And Seual Assault",,
Castration Serial Murders,,,,,,,,,
Steven Brian Pennell,"The Route 40 Killer, The Corridor Killer, The Route 13 Killer",,,,,,First Degree Murder,death,1988-11-29
Glen Rogers,"The Cross Country Killer, The Casanova Killer",,1962-07-15,,,,"Florida, First Degree Murder, Armed Robbery, Grand Theft Auto, California, First Degree Murder With Special Circumstances, Arson",death,1995-11-13
Mary Elizabeth Wilson,Merry Widow of Windy Nook,73.0,1889-06-11,"Catchgate, Stanley, Durham, England",1962-12-05,"HMP Holloway, London, England",Capital Murder,"death, commuted to life imprisonment",
Hadden Clark,"The Cross Dressing Cannibal, The Rockville Rocket",,1952-07-31,,,,Murder Robbery,70 years in prison,1992-11-06
Gary M. Heidnik,Brother Bishop,55.0,1943-11-22,,1999-07-06,,First Degree Murder Kidnapping Rape Aggravated Assault Involuntary Deviate Seual Intercourse,"death(July 6, 1999)",1987-03-24
Johann Otto Hoch,"The Bluebeard Murderer, C.A.Meyer, H. Ireck, Dr James, Jacob Huff, C.A.Calford, Jacob Hoch, Jacob Erdorff, Schmitt, Bartell, Henry F. Hartman, William Frederick Bessing, Martin Dotz, Adolf Hoch, Martin Dose, Albert Buschberg, John Healey, Carl Schmidt, Count Otto van Kurn, Dr G. L. Hart, John Jacob Leo Schmidt, Leo Preger, Joseph Hoch, Jacob Hock, Henry Bartells, John Joseph Adolf Hoch, Fred Doess",,,"Horrweiler, Grand Duchy of Hesse",,,Murder,death,1905-01-01
Carl Großmann,"Jack the Slaughterer, The Berlin Butcher",58.0,1863-12-13,"Neuruppin, Kingdom of Prussia",1922-07-05,Weimar Republic,"Assault, Child Molestation",15 years imprisonment,1921-08-21
Bobby Jack Fowler,,66.0,1939-06-12,,2006-05-20,,Rape Attempted Kidnapping Arson Attempted Rape Attempted Murder Discharging A Firearm Within City Limits,"16 years, 3 months with the possibility of parole",1995-06-28
Leszek Pękalski,The Vampire of Bytów,,1966-02-12,"Osieki, Bytw, Poland",,,Count Of Murder,,
Daniel Conahan,The Hog Trail Killer,,1954-05-11,,,,"First Degree Murder, Kidnapping",death,1996-07-03
Tillie Klimek,,,,Poland,1936-11-20,,Murder,life imprisonment,
Lyda Southard,"Lyda Anna Mae Trueblood, Flypaper Lyda, The Black Widow",65.0,1892-10-16,,1958-02-05,,Second Degree Murder,10 years to life in prison,1921-05-01
John Norman Collins,"The Co-Ed Killer, The Michigan Murderer, The Ypsilanti Killer, The Ypsilanti Ripper",,1947-06-17,"Windsor, Ontario, Canada",,,First Degree Murder,life imprisonment,1969-07-30
Velma Barfield,,52.0,1932-10-29,,1984-11-02,,"First Degree Murder, Writing Bad Checks","death(November 2, 1984)",1978-05-13
Raymond Morris,"The A34 murders, Babes in the Ditch murders, The Half-Day murders",,,,,,,,1968-11-15
Robert Anthony Buell,Bob Buell,62.0,1940-09-10,,2002-09-25,,"Aggravated Murder, Kidnapping Rape Felonious Seual Penetration Felonious Assault",deathsentence,1984-01-01
Hensley Anthony Neville,"Michelle Lim, Lim Kwee Huang",,,Singapore,,"Kallang Bahru, Singapore",,,
Harold Shipman,"Dr. Death, The Angel of Death, The Good Doctor",57.0,1946-01-14,"Nottingham, Nottinghamshire, England",2004-01-13,"HM Prison Wakefield, West Yorkshire, England",,life imprisonment (whole life tariff),1998-09-07
Niels Högel,,,1976-12-30,"Wilhelmshaven, Lower Saxony, West Germany",,,Murder,life imprisonment,
Baba Anujka,"The Banat Witch, The Witch of Vladimirovac",,,Romania,,"Vladimirovac, Yugoslavia",Murder,15 years imprisonment with hard labour,1928-06-01
Kermit Gosnell,,,1941-02-09,,,,"Federal, Conspiracy To Distribute Controlled Substances U.S.C. § Distribution Of Controlled Substances U.S.C. § Maintaining A Place For The Illegal Distribution Of Controlled Substances U.S.C. § Pennsylvania, First Degree Murder Involuntary Manslaughter, Performing An Illegal Late-Term Abortion Violating The -Hour Informed Consent Law","Federal, 30 years imprisonmentPennsylvaniaThree consecutive life sentence(s) without the possibility of parole",2011-01-19
Louay Omar Mohammed Al-Taei,,,,TaeiIraq,,,,,2006-03-01
Donald Harvey,Angel of Death,64.0,1952-04-15,,2017-03-30,,,"28 consecutive life sentence(s) plus $270,000 in fines",1987-04-06
Jane Toppan,Jolly Jane,,,,,,,,1901-10-29
Charles Cullen,,,1960-02-22,,,,,18 consecutive life sentence(s),2003-12-15
Stephan Letter,,,1978-09-17,Westphalia,,,"Murder, Manslaughter",life imprisonment,2004-07-29
Marcel Petiot,"Captain Valery, Docteur Satan",,,"Auxerre, Yonne, France",1946-05-25,"La Sant Prison, Paris, France",Murder,death,1944-10-31
Arnfinn Nesset,,,1936-10-25,"Trndelag, Norway",,,Murder Attempted Murder,21 years imprisonment,
Roger Andermatt,The Death-Keeper of Lucerne,,,"Lucerne, Switzerland",,,Murder,life imprisonment,
Linda Hazzard,"Linda Burfield Hazzard, Starvation Doctor",70.0,1867-12-18,,1938-06-24,,,,
Maxim Petrov,Doctor Death,,1965-11-14,"Kolpino, Leningrad Oblast, RSFSR",,,Murder,life imprisonment,2000-01-17
Joan Vila Dilmé,"The Caretaker of Olot, The Angel of Death",,1965-09-26,"Castellfollit de la Roca, Catalonia, Spain",,,Murder,127 years and a half imprisonment,2010-10-18
Vickie Dawn Jackson,,,1966-02-13,,,,Capital Murder,life imprisonment,2002-07-16
Ludivine Chambet,The Poisoner of Chambéry,,1983-05-10,France,,,Murder,25 years imprisonment + 10 years of involuntary commitment,
Frederick Mors,Frederick Maurice Beno,,1889-10-02,"Vienna, Austria",,,,Involuntary commitment,1915-01-01
Elizabeth Wettlaufer,"Beth Parker, Betty Weston",,1967-06-10,"Zorra, Ontario, Canada",,,"Murder, Attempted Murder, Aggravated Assault",,2016-10-25
Petr Zelenka,,,1976-02-27,Czech Republic,,,"Murder, Attempted Murder",life imprisonment,
Marianne Nölle,,,,"Cologne, Germany",,,,,1993-01-01
Lucy Letby,,,1990-01-04,"Hereford, Herefordshire, England",,,"Murder, Attempted Murder",life imprisonment(whole life order),2018-07-03
Orville Lynn Majors,,56.0,1961-04-24,,2017-09-24,,Murder,360 years imprisonment,1997-01-01
Efren Saldivar,,,1969-09-30,,,,,Six consecutive life sentence(s) without the possibility of parole,1998-03-13
Christine Malèvre,,,1970-01-10,,,,,,1998-01-01
Antoinette Scieri,,,,Italy,,,,,
Ahmad Ahmadi,,,,"Mashhad, Iran",,"Toopkhaneh, Tehran, Iran",Murder,death,
Kristen Gilbert,The Angel of Death,,1967-11-13,,,,First Degree Murder U.S.C. § Second Degree Murder U.S.C. § Assault With Intent To Commit Murder U.S.C. §,"Four consecutive life sentence(s) without parole, plus 20 years",
Frans Hooijmaijers,"Fat Frans, The Good Samaritan",70.0,1935-10-24,"Kerkrade, Netherlands",2006-08-20,Netherlands,Murder,life imprisonment x2 (reduced to 18 years),1975-08-14
Miyuki Ishikawa,,90.0,1897-02-05,"Honj, Miyazaki Prefecture, Japan",1987-05-30,Japan,,4 years in jail,1948-01-15
Amy Archer-Gilligan,Sister Theresa,,,,1962-04-23,,,"death, later sent to insane asylum",1917-01-01
Sonya Caleffi,,,1970-07-21,"Como, Italy",,,,20 years,2004-12-15
Aino Nykopp-Koski,,,,,,,"Murders, Attempted Murders, Aggravated Assaults, Thefts, Drug Possessions",Lifetime,2009-03-01
Kimberly Clark Saenz,,,1973-11-03,,,,Capital Murder Aggravated Assault,Life plus 60 years,2008-01-01
Michael Swango,"David J. Adams, Jack Kirk, Michael Kirk, Michael Swan",,1954-10-21,,,,"New York, First Degree Murder Ohio, Aggravated Murder",New YorkLife without paroleOhio20 years to life,1997-06-01
Edson Izidoro Guimarães,The Nurse of Death,,,Brazil,,,Murder,76 years in prison,1999-05-04
Richard Angelo,,,1962-08-29,,,,"Second Degree Murder Second Degree Manslaughter, Criminally Negligent Homicide, Assault",50 years to life in prison,1987-11-15
Colin Norris,,,1976-02-12,"Milton, Glasgow, Scotland",,,,,2002-01-01
Beverley Allitt,The Angel of Death,,1968-10-04,"Grantham, Lincolnshire, England",,,,"13 life sentence(s), 4 counts of murder, 5 counts of attempted murder, 6 counts of GBH",1991-01-01
Abraao Jose Bueno,,,1976-11-30,Brazil,,,"Murder, Attempted Murder",110 years of imprisonment,
Andrés Ulises Castillo Villarreal,"The Chihuahua Ripper, The Urban Development Ripper",,,"Chihuahua City, Chihuahua, Mexico",,,Murder,120 years imprisonment,2016-01-06
Elfriede Blauensteiner,The Black Widow,72.0,1931-01-22,"Vienna, Austria",2003-11-16,,,Life sentence,1996-01-01
Genene Jones,,,1950-07-13,,,,,99 years with triple credit,1982-11-21
Benjamin Geen,",Ben Allitt, (reference to Beverley Allitt)",,,"England, United Kingdom",,,"Of Murder, Of Grievous Bodily Harm",life imprisonment with a minimum tariff of 30 years,2004-02-09
Marie Fikáčková,,24.0,1936-09-09,"Suice, Czechoslovakia",1961-04-13,"Pankrc Prison, Prague, Czechoslovakia",Murder,death,
Victorino Chua,,,,,,,,life imprisonment,
Christopher Duntsch,,,1971-04-03,,,,"February,",,
Felícitas Sánchez Aguillón,"The Ogress of Colonia Roma, The Female Ripper of Colonia Roma, The Human Crusher of Little Angels",,,"Cerro Azul, Veracruz, Mexico",1941-06-16,,,Died before being convicted,1941-04-11
Robert George Clements,,,,"Belfast, Ireland",,"Southport, England",,,
Abboud And Khajawa,,,,centuryOttoman Empire,,"Mosul, Ottoman Empire","Murder, Cannibalism",death,1917-01-01
David Avendaño Ballina,The Hamburger,,,Mexico,,,,,2008-02-12
Hassan Orangi,The Singing Killer,,,"Esmailabad, Razavi Khorasan Province, Iran",,"Mashhad, Razavi Khorasan Province, Iran",Murder,death,1951-04-07
Angel Makers Of Nagyrév,,,,,,,,,1929-01-01
Long Zhimin,,,,"UnknownShang County, Shaanxi, China",,"Shang County, Shaanxi, China",Murder,death,1985-05-28
Dean Corll,"The Cy Man, The Pied Piper",33.0,1939-12-24,,1973-08-08,,Unattributable Due To Death,,
Adolfo Constanzo,"The Godfather of Matamoros (El Padrino de Matamoros), The Witch Doctor",26.0,1962-11-01,,1989-05-06,"Mexico City, Mexico",,,
Viktor Sayenko And Igor Suprunyuk,,,1988-03-01,"Dnipropetrovsk, Ukrainian SSR, Soviet Union",,,"Premeditated Murder And Animal Cruelty Sayenko And Suprunyuk And Robbery Hanzha, Sayenko And Suprunyuk","life imprisonment for Sayenko and Suprunyuk, nine years imprisonment for Hanzha",2007-07-23
Marcelo De Jesus Silva,,,,Rio de Janeiro,2010-12-03,"Lagoa da Paixo, Fazenda Coutos, Bahia, Brazil","Murder, Robbery, Drug Trafficking, Death Squad",,
Wang Zongfang And Wang Zongwei,,,,"Shenyang, Liaoning, China",,"Guangchang, Jiangxi, China",,,
Anísio Ferreira De Sousa,,,,Brazil,,,Murder,77 years in prison,
Ripper Crew,"The Chicago Rippers, The Ripper Crew",45.0,1953-11-30,,1999-03-17,,Everyone Ecept Gecht Was Convicted Of At Least One Count Of Murder,"Robin Gecht, 120 years imprisonmentAndrew KokoraleisdeathThomas Kokoraleis, life imprisonment without the possibility of parole, commuted to 70 yearsEdward Spreitzerdeath, commuted to life imprisonment without the possibility of parole",1982-11-12
John Allen Muhammad,"The Beltway Sniper, The D.C. Sniper",48.0,1960-12-31,,2009-11-10,,Capital Murder,death,2002-10-24
Death Angels,,,,,,,First-Degree Murder And Conspiracy To Commit First-Degree Murder,life imprisonment,1974-01-01
Vladyslav Volkovich And Volodymyr Kondratenko,The Nighttime Killers,,,"Kyiv, Ukrainian SSR, Soviet Union",,,,"Volkovich:, life imprisonment",1996-01-01
José Miculax Bux And Mariano Macú Miculax,The Monster of Guatemala,,,"Patzica, Guatemala",,Guatemala,Murder,death,1946-04-26
Fred West,,53.0,1941-09-29,"Much Marcle, Herefordshire, England",1995-01-01,"HM Prison Birmingham, Birmingham, England","Earlier Convictions For:, Actual Bodily Harm, Child Molestation, Deception, Indecent Assault, Possession Of Stolen Goods, Theft, Unpaid Fines",Died by suicide prior to murder conviction,1994-02-01
Briley Brothers,,30.0,1954-03-26,,1984-10-12,,"Linwood, Capital Murder, First Degree Murder Robbery, Rape, Use Of A Firearm In The Commission Of A Felony, James, Capital Murder First Degree Murder, Robbery, Rape, Use Of A Firearm In The Commission Of A Felony, Anthony, First Degree Murder Robbery, Use Of A Firearm In The Commission Of A Felony","Linwood and Jamesdeathby electrocutionAnthony, life imprisonment",
"John Justin Bunting, Robert Joe Wagner And James Spyridon Vlassakis",,,,,,,,,1999-05-21
Leonard Lake,"Leonard Hill, Leonard Blake, Alan Drey, Tom Meyers, Jim Bright, Ted White, Steve, Charles Gunnar, Donald Lake, Ry Jacobsen, Robin Stapley, Paul Cosner",39.0,1945-10-29,,1985-06-06,,Previously Convicted Of Vehicle Theft To One Year Of Probation; Never Convicted For Murder,,1985-06-02
Bloody Benders,"John Bender Sr.Elvira Bender, Kate Bender, John Bender Jr.",,,,,,,,
Shen Changyin And Shen Changping,,30.0,1976-01-26,China,2006-04-27,China,Murder,death,2004-08-01
Polatbay Berdaliyev,,,,Uzbek SSR,,,Murder,life imprisonment,2012-05-01
Wolfgang Abel And Marco Furlan,Ludwig,65.0,1959-03-25,"Padua, Italy",2024-10-25,"Negrar di Valpolicella, Italy",Murder,life imprisonment,1984-03-04
Juan Carlos Hernández And Patricia Martínez,,,,"Lzaro Crdenas, Michoacn, Mxico",,,,,2018-10-04
Hillside Stranglers,,51.0,1951-05-22,,2002-09-21,,Murder,"life imprisonment (without parole) (Buono), life imprisonment (Bianchi)",1979-01-12
Gerald And Charlene Gallego,"The Love Slave Killers, The Sex Slave Killers",56.0,1946-07-17,,2002-07-18,,Armed Robbery Gerald Lewd And Lascivious Acts With A Child Gerald Murder Both,death(Gerald),1980-11-17
Viña Del Mar Psychopaths,,29.0,1955-08-22,"Via del Mar, Chile",1985-01-29,"Quillota, Chile",Murder,death,1982-03-08
Yevgeny Nagorny,,,1972-06-26,"Kharkiv Oblast, UkSSR",,,Murder,life imprisonment,
Song Jinghua,,,,"Inner Mongolia, China",2011-05-27,"Beijing, China",Murder,death,
Tadeusz Grzesik,"Strawberry, Killer",,,s Republic,,,Murder,life imprisonment,2007-01-01
The Hernández Brothers Sect,The High Priestess of Blood,,,"Tamaulipas, Mexico",,,,50 years in prison,
Rudolfo Infante And Anna Villeda,,,,,,,Murder,40 in prison,1991-10-21
Dale Hausner And Samuel Dieteman,,40.0,1973-02-04,"Arizona, United States",2013-06-19,,"First Degree Murder Attempted First Degree Murder Conspiracy To Commit First Degree Murder, Aggravated Assault Arson Of Occupied Structure Animal Cruelty Conspiracy To Commit Animal Cruelty Drive-By Shooting Unlawful Discharging Of A Firearm",death,2006-08-03
Futoshi Matsunaga,,,1961-04-28,"Kitakyushu, Fukuoka, Japan",,,Murder Manslaughter,death,2002-01-01
Christopher Worrell And James Miller,The Truro Murderers,,,,1977-02-19,,,,
Fa Ziying And Lao Rongzhi,Fa Lao Qi(法老七)Ye Weimin (叶伟民),35.0,1964-10-01,"Jiujiang, Jiangxi, China",1999-12-28,"Feixi County, Hefei, Anhui, China","Murder, Kidnapping, Robbery",death,1999-07-23
Johannes Van Rooyen And Dumisani Makhubela,,,,,,,Murder Rape Other Crimes,445 years imprisonment,2005-06-07
Auto Shankar,,41.0,1954-01-21,"Kangeyanallur, Vellore District, India",1995-04-27,"Salem Central Prison, Salem, Tamil Nadu, India",Murder,death,
Gert Van Rooyen,,,,South Africa,,"Pretoria, South Africa",,,
Kiss Brothers And Zsolt István Pető,,,,,,,Murder,"life imprisonment (Árpád Kiss, István Kiss, Zsolt Pető), 13 years imprisonment (István Csontos)",2009-08-21
Hermann Duft And Hans Wilhelm Bassenauer,,,,"Darmstadt, Nazi Germany",,"Aegina, Greece","Murder Robbery, Attempted Murder",death,
David Alan Gore And Fred Waterfield,"The Killing Cousins, The eyes of the devil",58.0,1953-08-21,,2012-04-12,,First Degree Murder,death,1983-07-26
Artyom Alexandrovich Anoufriev And Nikita Vakhtangovich Lytkin,"Academy Maniacs, Irkutsk Molotochniki",,,"Irkutsk, Irkutsk Oblast, Russia",,,Murder,"life imprisonment (Anoufriev)24 years imprisonment, later changed to 20 years (Lytkin)",2011-04-05
Ray And Faye Copeland,,,,,1993-10-19,,First Degree Murder,death,1989-10-17
Ian Brady,The Moors Murderers,79.0,1938-01-02,,2017-05-15,,Murder,life imprisonment (whole life tariff),1965-10-07
Lawrence Bittaker And Roy Norris,,79.0,1940-09-27,,2019-12-13,,"First-Degree Murder, Kidnapping, Rape","death(de jure, 1981)",1979-11-20
James Gregory Marlow And Cynthia Coffman,,,1962-01-19,,,,Murder,death,1986-11-14
Gwendolyn Graham And Catherine May Wood,The Lethal Lovers,,1963-08-06,,,,,life imprisonment (Graham)20 to 40 years imprisonment (Wood),1988-12-01
Loren Herzog And Wesley Shermantine,,46.0,1965-12-08,,2012-01-16,,"Murder , Overturned Voluntary Manslaughter, Accessory To Murder Furnishing Amphetamine","78 years (overturned) 14 years, paroled after 11 years",1999-03-17
David And Catherine Birnie,,54.0,1951-02-16,,2005-10-07,"Casuarina Prison in Casuarina, Western Australia, Australia",,Four terms of life imprisonment,1986-01-01
John Duffy And David Mulcahy,"The Railway Killers, The Railway Rapists",,,England,,,,life imprisonment (both Duffy and Mulcahy),1986-11-07
Raymond Fernandez And Martha Beck,,36.0,1914-12-17,Territory of Hawaii,1951-03-08,,First Degree Murder,death,
Beasts Of Satan,Beasts of Satan,,,,,,,,2004-02-01
James Paster And Stephen Mccoy,,44.0,1945-01-30,,1989-09-20,,Capital Murder,"death(September 22, 1983)",
Paul Bernardo,"The Scarborough Rapist, The Schoolgirl Killer, Paul Jason Teale",,1964-08-27,"Scarborough, Ontario, Canada",,,"First-Degree Murder , Kidnapping , Forcible Confinement , Aggravated Seual Assault , Committing An Indignity To A Body, Various Related But Publicly Unnamed Charges","life imprisonment with a possibility of parole after 25 years, including a dangerous offender designation, in 1995",1993-02-17
Michael Bear Carson And Suzan Carson,Michael Bear Carson,,1950-11-28,,,,Murder,75 years to life,1983-01-01
Joseph And Michael Kallinger,The Shoemaker,60.0,1935-12-11,,1996-03-26,,"Arson, Child Abuse, Murder",life imprisonment,1975-01-17
Silvia Merez Cult,The Human Sacrifices Sect of Nacozari,,,"Hermosillo, Sonora, Mexico",,,,life imprisonment,2012-03-01
Raya And Sakina,,,,,,Egypt,Serial Killing,death,
