Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population)
Theft,Novgorod Oblast,2008,7183,1101.4
Theft,Pskov Oblast,2008,6929,990.4
Theft,Saint Petersburg,2008,32971,692.0
Theft,Republic of Dagestan,2008,2830,101.5
Theft,Republic of Ingushetia,2008,330,81.2
Theft,Kabardino-Balkar Republic,2008,3785,441.5
Theft,Karachay-Cherkess Republic,2008,1380,295.9
Theft,Republic of North Ossetia-Alania,2008,3060,430.1
Theft,Chechen Republic,2008,428,35.8
Theft,Stavropol Krai,2008,15701,568.9
Theft,Republic of Adygea,2008,1659,378.9
Theft,Republic of Kalmykia,2008,1657,568.1
Theft,Republic of Crimea,2008,NaN,NaN
Theft,Krasnodar Krai,2008,27375,529.4
Theft,Astrakhan Oblast,2008,8486,843.6
Theft,Volgograd Oblast,2008,18657,711.3
Theft,Rostov Oblast,2008,39329,915.1
Theft,Sevastopol,2008,NaN,NaN
Theft,Republic of Bashkortostan,2008,31168,768.7
Theft,Mari El Republic,2008,7531,1068.3
Theft,Republic of Mordovia,2008,3464,406.7
Theft,Republic of Tatarstan,2008,34843,925.0
Theft,Udmurt Republic,2008,18768,1224.3
Theft,Chuvash Republic,2008,8031,635.9
Theft,Perm Krai,2008,45292,1693.8
Theft,Kirov Oblast,2008,11034,799.9
Theft,Nizhny Novgorod Oblast,2008,40577,1206.6
Theft,Orenburg Oblast,2008,14892,724.4
Theft,Penza Oblast,2008,9349,665.2
Theft,Samara Oblast,2008,33311,1034.2
Theft,Saratov Oblast,2008,19248,752.4
Theft,Ulyanovsk Oblast,2008,8632,655.8
Theft,Kurgan Oblast,2008,10816,1157.4
Theft,Sverdlovsk Oblast,2008,49543,1146.8
Theft,Tyumen Oblast,2008,19550,1486.3
Theft,Khanty–Mansi Autonomous Okrug – Yugra,2008,14532,974.5
Theft,Yamalo-Nenets Autonomous Okrug,2008,3014,575.2
Theft,Chelyabinsk Oblast,2008,42466,1217.1
Theft,Altai Republic,2008,2177,1071.7
Theft,Republic of Buryatia,2008,14799,1533.3
Theft,Tuva Republic,2008,1558,512.9
Theft,Republic of Khakassia,2008,7276,1369.5
Theft,Altai Krai,2008,29218,1190.9
Theft,Zabaykalsky Krai,2008,12857,1156.8
Theft,Krasnoyarsk Krai,2008,36759,1295.7
Theft,Irkutsk Oblast,2008,34940,1423.0
Theft,Kemerovo Oblast,2008,30590,1100.3
Theft,Novosibirsk Oblast,2008,32069,1213.5
Theft,Omsk Oblast,2008,19722,989.4
Theft,Tomsk Oblast,2008,14846,1446.5
Theft,Sakha (Yakutia) Republic,2008,9031,941.8
Theft,Kamchatka Krai,2008,2011,613.2
Theft,Primorsky Krai,2008,30845,1559.9
Theft,Khabarovsk Krai,2008,25117,1853.9
Theft,Amur Oblast,2008,10085,1194.5
Theft,Magadan Oblast,2008,1554,947.6
Theft,Sakhalin Oblast,2008,6449,1266.1
Theft,Jewish Autonomous Oblast,2008,2333,1305.5
Theft,Chukotka Autonomous Okrug,2008,314,594.4
Robbery without violence,Russian Federation,2008,243957,170.9
Robbery without violence,Belgorod Oblast,2008,789,51.9
Robbery without violence,Bryansk Oblast,2008,1000,76.7
Robbery without violence,Vladimir Oblast,2008,1910,130.2
Robbery without violence,Voronezh Oblast,2008,2007,85.6
Robbery without violence,Ivanovo Oblast,2008,1626,150.4
Robbery without violence,Kaluga Oblast,2008,946,93.0
Robbery without violence,Kostroma Oblast,2008,752,110.0
Robbery without violence,Kursk Oblast,2008,1047,90.9
Robbery without violence,Lipetsk Oblast,2008,1447,121.9
Robbery without violence,Moscow Oblast,2008,8486,123.1
Robbery without violence,Oryol Oblast,2008,678,84.2
Robbery without violence,Ryazan Oblast,2008,584,49.7
Robbery without violence,Smolensk Oblast,2008,1482,146.9
Robbery without violence,Tambov Oblast,2008,553,49.5
Robbery without violence,Tver Oblast,2008,2320,167.3
Robbery without violence,Tula Oblast,2008,885,55.7
Robbery without violence,Yaroslavl Oblast,2008,2745,212.4
Robbery without violence,Moscow,2008,20085,179.5
Robbery without violence,Republic of Karelia,2008,967,146.6
Robbery without violence,Komi Republic,2008,2036,217.8
Robbery without violence,Arkhangelsk Oblast,2008,1953,160.7
Robbery without violence,Nenets Autonomous Okrug,2008,45,107.4
Robbery without violence,Vologda Oblast,2008,2123,174.0
Robbery without violence,Kaliningrad Oblast,2008,1290,137.9
Robbery without violence,Leningrad Oblast,2008,2239,132.3
Robbery without violence,Murmansk Oblast,2008,1346,165.1
Robbery without violence,Novgorod Oblast,2008,817,125.3
Robbery without violence,Pskov Oblast,2008,717,102.5
Robbery without violence,Saint Petersburg,2008,10221,214.5
Robbery without violence,Republic of Dagestan,2008,386,13.8
Robbery without violence,Republic of Ingushetia,2008,25,6.1
Robbery without violence,Kabardino-Balkar Republic,2008,441,51.4
Robbery without violence,Karachay-Cherkess Republic,2008,155,33.2
Robbery without violence,Republic of North Ossetia-Alania,2008,386,54.3
Robbery without violence,Chechen Republic,2008,25,2.1
Robbery without violence,Stavropol Krai,2008,1747,63.3
Robbery without violence,Republic of Adygea,2008,251,57.3
Robbery without violence,Republic of Kalmykia,2008,207,71.0
Robbery without violence,Republic of Crimea,2008,NaN,NaN
Robbery without violence,Krasnodar Krai,2008,2643,51.1
Robbery without violence,Astrakhan Oblast,2008,1749,173.9
Robbery without violence,Volgograd Oblast,2008,3283,125.2
Robbery without violence,Rostov Oblast,2008,5570,129.6
Robbery without violence,Sevastopol,2008,NaN,NaN
Robbery without violence,Republic of Bashkortostan,2008,3677,90.7
Robbery without violence,Mari El Republic,2008,2469,350.2
Robbery without violence,Republic of Mordovia,2008,378,44.4
Robbery without violence,Republic of Tatarstan,2008,4651,123.5
Robbery without violence,Udmurt Republic,2008,5600,365.3
Robbery without violence,Chuvash Republic,2008,1653,130.9
Robbery without violence,Perm Krai,2008,11810,441.7
Robbery without violence,Kirov Oblast,2008,1212,87.9
Robbery without violence,Nizhny Novgorod Oblast,2008,9265,275.5
Robbery without violence,Orenburg Oblast,2008,2642,128.5
Robbery without violence,Penza Oblast,2008,1114,79.3
Robbery without violence,Samara Oblast,2008,8550,265.5
Robbery without violence,Saratov Oblast,2008,3161,123.6
Robbery without violence,Ulyanovsk Oblast,2008,1742,132.3
Robbery without violence,Kurgan Oblast,2008,1321,141.4
Robbery without violence,Sverdlovsk Oblast,2008,11963,276.9
Robbery without violence,Tyumen Oblast,2008,4175,317.4
Robbery without violence,Khanty–Mansi Autonomous Okrug – Yugra,2008,2111,141.6
Robbery without violence,Yamalo-Nenets Autonomous Okrug,2008,333,63.5
Robbery without violence,Chelyabinsk Oblast,2008,8738,250.4
Robbery without violence,Altai Republic,2008,233,114.7
Robbery without violence,Republic of Buryatia,2008,2576,266.9
Robbery without violence,Tuva Republic,2008,357,117.5
Robbery without violence,Republic of Khakassia,2008,761,143.2
Robbery without violence,Altai Krai,2008,4817,196.3
Robbery without violence,Zabaykalsky Krai,2008,1823,164.0
Robbery without violence,Krasnoyarsk Krai,2008,5335,188.0
Robbery without violence,Irkutsk Oblast,2008,11137,453.6
Robbery without violence,Kemerovo Oblast,2008,8979,323.0
Robbery without violence,Novosibirsk Oblast,2008,6927,262.1
Robbery without violence,Omsk Oblast,2008,2553,128.1
Robbery without violence,Tomsk Oblast,2008,2836,276.3
Robbery without violence,Sakha (Yakutia) Republic,2008,2026,211.3
Robbery without violence,Kamchatka Krai,2008,232,70.7
Robbery without violence,Primorsky Krai,2008,5310,268.5
Robbery without violence,Khabarovsk Krai,2008,4658,343.8
Robbery without violence,Amur Oblast,2008,1582,187.4
Robbery without violence,Magadan Oblast,2008,188,114.6
Robbery without violence,Sakhalin Oblast,2008,831,163.1
Robbery without violence,Jewish Autonomous Oblast,2008,256,143.2
Robbery without violence,Chukotka Autonomous Okrug,2008,24,45.4
Robbery with violence,Russian Federation,2008,35366,24.8
Robbery with violence,Belgorod Oblast,2008,121,8.0
Robbery with violence,Bryansk Oblast,2008,155,11.9
Robbery with violence,Vladimir Oblast,2008,373,25.4
Robbery with violence,Voronezh Oblast,2008,419,17.9
Robbery with violence,Ivanovo Oblast,2008,219,20.3
Robbery with violence,Kaluga Oblast,2008,274,26.9
Robbery with violence,Kostroma Oblast,2008,100,14.6
Robbery with violence,Kursk Oblast,2008,122,10.6
Robbery with violence,Lipetsk Oblast,2008,106,8.9
Robbery with violence,Moscow Oblast,2008,2152,31.2
Robbery with violence,Oryol Oblast,2008,126,15.6
Robbery with violence,Ryazan Oblast,2008,135,11.5
Robbery with violence,Smolensk Oblast,2008,222,22.0
Robbery with violence,Tambov Oblast,2008,99,8.9
Robbery with violence,Tver Oblast,2008,383,27.6
Robbery with violence,Tula Oblast,2008,229,14.4
Robbery with violence,Yaroslavl Oblast,2008,405,31.3
Robbery with violence,Moscow,2008,4650,41.6
Robbery with violence,Republic of Karelia,2008,115,17.4
Robbery with violence,Komi Republic,2008,163,17.4
Robbery with violence,Arkhangelsk Oblast,2008,330,27.2
Robbery with violence,Nenets Autonomous Okrug,2008,4,9.5
Robbery with violence,Vologda Oblast,2008,345,28.3
Robbery with violence,Kaliningrad Oblast,2008,136,14.5
Robbery with violence,Leningrad Oblast,2008,531,31.4
Robbery with violence,Murmansk Oblast,2008,112,13.7
Robbery with violence,Novgorod Oblast,2008,183,28.1
