Country / Territory,Region,Region Name,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Togo,SSA,Sub Saharn Africa,30,130,7,1.69541,30,128,7,1.603653,29,134,7,1.750591,29,130,7,2.4049,30,129,6,2.35,32,117,6,3.29,32,5,4.21,32,5,3.04,29,5,3.69,29,5,3.7,30,5,3.4
Gabon,SSA,Sub Saharn Africa,29,136,6,2.069705,31,124,5,2.395403,30,129,6,2.348292,31,123,6,2.407603,31,124,4,3.92,32,117,4,3.22,35,4,0.97,34,4,1.65,37,4,4.19,34,5,1.5,35,5,2.1
Mali,SSA,Sub Saharn Africa,28,137,8,1.628118,29,136,8,1.463211,30,129,8,1.49772,29,130,8,2.620483,32,120,7,1.38,31,122,7,2.08,32,6,1.75,35,6,1.89,32,6,3.37,28,6,3.3,34,6,4
Paraguay,AME,"North, Central, and South America",28,137,7,1.697594,30,128,7,1.400964,28,137,6,2.190555,28,137,6,2.835402,29,132,6,3.05,29,135,6,3.1,30,6,2.68,27,5,2.85,24,5,2.95,24,5,3.1,25,5,2.9
Russia,ECA,Europe and Central Asia,28,137,8,1.729621,29,136,9,1.461623,30,129,9,1.334187,28,137,9,2.476439,28,138,9,2.51,29,135,9,2.5,29,9,2.73,29,8,2.52,27,8,2.61,28,9,2.3,28,9,2.2
Kyrgyzstan,ECA,Europe and Central Asia,27,140,7,1.317177,27,144,7,1.163441,31,124,7,1.28063,30,126,7,2.540632,29,132,7,2.37,29,135,7,2.59,28,7,2.08,28,6,2.29,27,6,2.35,24,6,2.3,24,6,1.8
Pakistan,AP,Asia Pacific,27,140,7,1.916701,28,140,8,1.86989,31,124,8,1.798669,32,120,8,2.461317,33,117,8,2.06,32,117,8,2.11,32,7,2.12,30,7,3.12,29,7,3.24,28,8,3,27,8,2.3
Cameroon,SSA,Sub Saharn Africa,26,142,9,1.370248,27,144,9,1.366871,25,149,9,1.364944,25,153,9,2.424488,25,152,9,2.43,25,153,9,2.58,26,9,3.04,27,8,3.26,27,8,2.87,25,8,2.9,26,8,3.5
Liberia,SSA,Sub Saharn Africa,26,142,7,1.715974,29,136,8,1.697025,28,137,7,2.011254,28,137,7,2.667331,32,120,8,3.31,31,122,8,3.24,37,7,3.43,37,7,4.22,37,6,3.09,38,7,3.3,41,7,3.9
Madagascar,SSA,Sub Saharn Africa,26,142,7,1.673997,26,147,7,1.689165,25,149,8,1.511308,24,158,8,2.475335,25,152,7,2.64,24,155,8,2.72,26,7,2.88,28,7,2.99,28,8,3.38,28,8,1.9,32,8,3.2
